ncaa_id,team,season,division,jersey,name,position,height,class,major,hometown,high_school,previous_school,url
587794,Notre Dame,2024,I,0,Simone Baravelli,Goalkeeper,6-1,Senior,,Verona Italy,Educandato Statale Agli Angeli,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/simone-baravelli/
587794,Notre Dame,2024,I,1,Owen Cornell,Goalkeeper,6-0,Junior,,La Grange IL,Lyons Township,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/owen-cornell/
587794,Notre Dame,2024,I,2,Mitch Ferguson,Defender,6-4,Junior,,Glen Carbon IL,Baker Web Academy,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/mitchell-ferguson/
587794,Notre Dame,2024,I,3,Sean McDowd,Defender,6-0,Sophomore,,Lake Oswego OR,Lake Oswego,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/sean-mcdowd/
587794,Notre Dame,2024,I,4,Jack Ross,Defender,6-3,Sophomore,,Naples FL,Shattuck St. Mary's School,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/jack-ross/
587794,Notre Dame,2024,I,5,Kyle Genenbacher,Defender,5-10,Senior,,Farmington MO,Farmington,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/kyle-genenbacher/
587794,Notre Dame,2024,I,6,Wyatt Lewis,Midfielder,6-1,Sophomore,,St. Charles MO,St. Louis Priory School,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/wyatt-lewis/
587794,Notre Dame,2024,I,7,Nate Zimmermann,Forward,5-9,Sophomore,,Mendham NJ,Delbarton,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/nate-zimmermann/
587794,Notre Dame,2024,I,8,Nico Bartlett,Midfielder,5-5,Sophomore,,Bloomingdale IL,Lake Park,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/nico-bartlett/
587794,Notre Dame,2024,I,9,Wyatt Borso,Forward,6-1,Junior,,Aurora IL,,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/wyatt-borso/
587794,Notre Dame,2024,I,10,KK Baffour,Midfielder,5-8,Junior,,"Southport CT & Kumasi Ghana",The Taft School,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/kelvin-baffour/
587794,Notre Dame,2024,I,11,Jack Flanagan,Forward,5-10,Sophomore,,Rancho Palos Verdes CA,Palos Verdes,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/jack-flanagan/
587794,Notre Dame,2024,I,12,Daniel Boateng,Midfielder,5-6,Junior,,"Carpinteria CA & Accra Ghana",Cate School,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/daniel-boateng/
587794,Notre Dame,2024,I,13,Bryce Boneau,Midfielder,5-10,Senior,,Keller TX,Keller,,https://fightingirish.com/sports/msoc/roster/season/2024-25/player/bryce-boneau/
